content,date,dislikes,likes,press,title,userName
■ 희철아 !  결혼할거아니면 자꾸 이여자 저여자 건드리지마라.   여자 결혼 못한다.,2020-01-02T02:55:00+0000,2,2,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",whal****
저 성격 원만한 김희철도 결국 연애가 싫고 귀찮아서 연애를 안하는 게 아니라 한녀들 zi랄견스런 성격 맞춰줄 수 없어 연애를 안하던거구먼,2020-01-02T02:49:51+0000,2,2,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",xhop****
이젠 답은 스시녀다,2020-01-02T02:43:44+0000,2,2,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",ssg7****
13살 차이면 지금 내 기준으로 중 3이네 ㅋㅋㅋㅋㅋ잘 크렴,2020-01-02T02:38:20+0000,2,2,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",choc****
뭐야~~ㅋ 있지 열혈팬 김희철~~연인은 트와이스~??,2020-01-02T07:15:55+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",nkhk****
좀 헐렁해도 테크닉과 사운드가 일품이지..,2020-01-02T07:14:22+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",kim4****
"두 분, 축하드려요.  행복하세요.",2020-01-02T07:10:14+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",kace****
예쁘게 잘 만났음 좋겠어요. 오래오래 만나세요~,2020-01-02T07:08:56+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",lovu****
축하합니다 ~~~,2020-01-02T07:07:25+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",ghdg****
장난치냐,2020-01-02T07:04:20+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",pecu****
야메떼,2020-01-02T07:02:04+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",gzon****
